username,location,sentiment,sentiment-score,text,time_zone,created_at,place,lang,quote_count,reply_count,retweeted,retweet_count,favorited,favorite_count,timestamp_ms,followers_count,friends_count,statuses_count
sober,R.O.M.E.,POSITIVE,0.6494562030000001,"RT @Wisethedome: Meet the First U.S. School District to Serve 100% Organic, GMO-Free Meals https://t.co/hgoYQxnTCd",,Mon Sep 18 17:14:59 +0000 2017,,en,0,0,False,0,False,0,1505754899202,513,616,27261
🌹Rose🌹,,NEUTRAL,0.5625849366,RT @VirginiaInCal  We have the right to know https://t.co/hNiotl5ymh,,Mon Sep 18 17:15:09 +0000 2017,,en,0,0,False,0,False,0,1505754909473,19220,18511,231585
🌹Rose🌹,,NEGATIVE,0.1459414959,"RT @VirginiaInCal: Stand up for GMO labeling !
Boycott all #Kelloggs products like #Keebler &amp; #CheezIt for blocking GMO labeling laws… ",,Mon Sep 18 17:15:12 +0000 2017,,en,0,0,False,0,False,0,1505754912341,19220,18511,231586
Terri L,,NEUTRAL,0.46502399440000003,"@DegenRolf Living in California among lefties who don't vaccinate and claim GMO's are killing us all, yeah, there a… https://t.co/t2KUluc0dh",Pacific Time (US & Canada),Mon Sep 18 17:15:17 +0000 2017,,en,0,0,False,0,False,0,1505754917082,199,612,5617
Deplorable. LKMEB,WI,NEUTRAL,0.5717051029,RT @Watchme58476651: @bbusa617 Kellogg’s Cereals: Double Dose Of GMO Pesticides &amp; Antibiotics,,Mon Sep 18 17:15:24 +0000 2017,,en,0,0,False,0,False,0,1505754924877,3365,4982,25411
Bonnie Zaboy,,NEGATIVE,0.0722289383,"RT @Watchme58476651: @bbusa617 Kellogg's Loves GMO Contamination of Organic - Boycott Morningstar Farms, Kashi, Bear Naked, and Gardenburge…",,Mon Sep 18 17:15:36 +0000 2017,,en,0,0,False,0,False,0,1505754936528,831,932,35919
BigOllies,"Liverpool, England",NEUTRAL,0.5717051029,RT @Watchme58476651: @bbusa617 Kellogg’s Cereals: Double Dose Of GMO Pesticides &amp; Antibiotics,London,Mon Sep 18 17:15:45 +0000 2017,,en,0,0,False,0,False,0,1505754945242,258,437,3757
🌸spirit✨of✨freedom,la terra firma,NEGATIVE,0.3452381194,‘GM seed choice shouldn’t be dictated’: Italian farmers question EU court ruling on Monsanto corn https://t.co/Ecrzb0NBnE,Amsterdam,Mon Sep 18 17:15:51 +0000 2017,,en,0,0,False,0,False,0,1505754951981,14310,11477,380240
Abraham J Meintjes,Pretoria & Kisangani,NEGATIVE,0.2651384771,Is GMO the answer? https://t.co/PExRVQps4E,Pretoria,Mon Sep 18 17:16:00 +0000 2017,,en,0,0,False,0,False,0,1505754960757,96,82,1678
Linda Godfrey,"Pennsylvania, USA",NEUTRAL,0.5717051029,RT @Watchme58476651: @bbusa617 Kellogg’s Cereals: Double Dose Of GMO Pesticides &amp; Antibiotics,,Mon Sep 18 17:16:03 +0000 2017,,en,0,0,False,0,False,0,1505754963447,591,558,15001
